#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G5X5	43712	15528	27491	22404	10748	11656	2413	558648	534894	22524	55035	555779	487527	27265	40987	2869	751	1775	180	163
B00G5WQ	43782	15579	27514	22383	10727	11656	2514	558498	534791	22475	54989	555440	487034	27442	40964	3058	810	1902	175	171
B00G5X2	43882	15650	27533	22407	10763	11644	2402	558486	534789	22474	55011	555571	487500	27566	40505	2915	849	1756	136	174
B00G5WR	43750	15539	27515	22469	10754	11715	2371	558587	534858	22503	55022	555661	487484	27413	40764	2926	730	1858	150	188
B00G5X3	43776	15556	27536	22455	10786	11669	2073	558873	535122	22517	55071	555755	486723	26770	42262	3118	793	2014	151	160
B00G5WO	43763	15533	27543	22465	10762	11703	2360	558589	534862	22491	55037	555664	486877	26407	42380	2925	769	1821	166	169
B00G5WP	43792	15590	27514	22413	10745	11668	2486	558486	534787	22476	55030	555505	487509	26715	41281	2981	767	1858	177	179
B00G755	43663	15502	27476	22523	10808	11715	2446	558545	534810	22500	55043	555642	486640	26702	42300	2903	776	1781	177	169
B00G5WN	43760	15573	27510	22471	10760	11711	2248	558698	534957	22496	55064	555685	486915	26835	41935	3013	760	1937	150	166
B00G756	43673	15478	27512	22441	10726	11715	2539	558524	534799	22486	55046	555434	486748	27048	41638	3090	752	2002	165	171
B00G5WK	43706	15499	27515	22492	10749	11743	2099	558880	535140	22509	55056	555790	487757	26996	41037	3090	833	1938	144	175
B00G74R	43632	15415	27534	22431	10761	11670	2362	558752	535051	22475	55016	555749	487827	27412	40510	3003	715	1981	129	178
B00G753	43637	15449	27494	22516	10769	11747	2333	558691	534952	22490	55062	555697	487579	26851	41267	2994	718	1978	131	167
B00G754	43666	15474	27511	22449	10753	11696	2426	558636	534876	22523	55064	555548	486865	26623	42060	3088	799	1952	165	172
B00G759	43733	15544	27496	22471	10776	11695	2388	558585	534868	22493	55049	555567	486785	27190	41592	3018	734	1945	170	169
B00G757	43587	15407	27498	22514	10797	11717	2423	558653	534910	22498	55065	555848	487340	26991	41517	2805	714	1769	148	174
B00G74W	43760	15488	27592	22748	10757	11991	1266	559403	535439	22677	55241	556249	487508	27148	41593	3154	523	2266	161	204
B00G758	43636	15447	27495	22429	10759	11670	2468	558644	534909	22516	55047	555781	487202	26844	41735	2863	803	1724	168	168
B00G73J	43739	15494	27559	22529	10755	11774	1911	558998	535224	22538	55087	555886	487481	27197	41208	3112	700	2085	140	187
B00G73I	43738	15526	27525	22433	10724	11709	2192	558814	535031	22534	55066	555899	487328	26832	41739	2915	719	1853	150	193
B00G73K	43749	15529	27536	22538	10776	11762	2028	558862	535088	22537	55080	555708	487095	26927	41686	3154	745	2082	139	188
B00G73N	43878	15626	27556	22566	10782	11784	2053	558680	534963	22489	55070	555688	487560	27258	40870	2992	709	1955	148	180
B00G73P	43694	15503	27507	22495	10761	11734	2140	558848	535091	22516	55050	556115	488464	27240	40411	2733	703	1721	161	148
B00G741	43620	15453	27482	22437	10793	11644	2664	558456	534777	22453	55000	555321	487016	25901	42404	3135	715	2097	163	160
B00G73O	43685	15516	27484	22469	10791	11678	2228	558795	535073	22494	55051	555967	488119	26844	41004	2828	684	1829	152	163
B00G740	43549	15404	27445	22353	10748	11605	2943	558332	534675	22446	54973	555500	486825	26438	42237	2832	651	1858	158	165
B00G73B	43613	15420	27505	22475	10771	11704	2274	558815	535037	22540	55078	555679	486710	27129	41840	3136	817	2005	141	173
B00G5VZ	43770	15547	27522	22507	10769	11738	2154	558746	535016	22500	55043	555723	487328	27425	40970	3023	753	1932	154	184
B00G73A	43632	15460	27483	22436	10743	11693	2184	558925	535137	22543	55115	555739	487360	27551	40828	3186	777	2066	179	164
B00G5VW	43643	15465	27493	22440	10769	11671	2351	558743	535027	22484	55050	555528	486688	26683	42157	3215	752	2123	155	185
B00G73F	43754	15565	27501	22489	10789	11700	2180	558754	535046	22479	55061	555760	487430	26797	41533	2994	769	1882	180	163
B00G5VV	43838	15607	27533	22458	10763	11695	2271	558610	534887	22496	55039	555658	486642	26872	42144	2952	762	1852	170	168
B00G73E	43815	15595	27524	22509	10765	11744	2167	558686	534960	22507	55047	555743	487533	27447	40763	2943	779	1809	184	171
B00G73H	43752	15535	27521	22481	10776	11705	1996	558948	535174	22535	55104	555936	487672	27670	40594	3012	751	1954	136	171
B00G5VX	43707	15509	27513	22438	10736	11702	2243	558789	535032	22512	55087	555909	486664	27290	41955	2880	848	1710	156	166
B00G73G	43726	15543	27505	22435	10782	11653	2343	558673	534914	22517	55047	555683	487397	27464	40822	2990	826	1797	181	186
